,Filename,Predictions
0,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2302_0.png,Bach
1,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2302_1.png,Beethoven
2,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2302_2.png,Schubert
3,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2304_0.png,Bach
4,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2304_1.png,Beethoven
5,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2304_2.png,Bach
6,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2304_3.png,Bach
7,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2304_4.png,Bach
8,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2304_5.png,Bach
9,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2305_0.png,Bach
10,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2305_1.png,Bach
11,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2307_0.png,Bach
12,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2307_1.png,Bach
13,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2307_2.png,Bach
14,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2307_3.png,Bach
15,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2308_0.png,Bach
16,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2308_1.png,Bach
17,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2308_2.png,Bach
18,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2308_3.png,Bach
19,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2310_0.png,Bach
20,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2659_0.png,Bach
21,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2659_1.png,Beethoven
22,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Bach/2659_2.png,Bach
23,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_0.png,Beethoven
24,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_1.png,Beethoven
25,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_10.png,Beethoven
26,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_11.png,Beethoven
27,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_12.png,Beethoven
28,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_13.png,Beethoven
29,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_14.png,Beethoven
30,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_15.png,Beethoven
31,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_16.png,Beethoven
32,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_17.png,Beethoven
33,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_18.png,Beethoven
34,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_19.png,Beethoven
35,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_2.png,Beethoven
36,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_20.png,Beethoven
37,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_21.png,Beethoven
38,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_3.png,Beethoven
39,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_4.png,Beethoven
40,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_5.png,Beethoven
41,/content/drive/.shortcut-targets-by-id/15qa4hIChQXkeQYo-au1j2OlepLD5nVxo/Newer_correct_cqt_fft_stft/splitted_fft/val/Beethoven/2607_6.png,Beethoven
